model,arm,persona,depth,parse_ok,n_task_1,n_task_2,n_task_3,stop_reason
Qwen/Qwen3.5-0.8B,A1_base,sch-power,D2,True,1,1,1,other
Qwen/Qwen3.5-0.8B,A1_base,sch-security,D2,True,1,1,1,other
Qwen/Qwen3.5-0.8B,A4_null,sch-power,D2,True,1,1,1,other
Qwen/Qwen3.5-0.8B,A4_null,sch-security,D2,True,1,1,1,other
Qwen/Qwen3.5-2B,A1_base,sch-power,D2,True,1,4,8,other
Qwen/Qwen3.5-2B,A1_base,sch-security,D2,True,1,2,4,other
Qwen/Qwen3.5-2B,A4_null,sch-power,D2,True,1,1,1,other
Qwen/Qwen3.5-2B,A4_null,sch-security,D2,True,1,1,1,other
google/gemma-4-E2B-it,A1_base,sch-power,D2,True,3,5,8,other
google/gemma-4-E2B-it,A1_base,sch-security,D2,True,2,4,6,other
google/gemma-4-E2B-it,A4_null,sch-power,D2,True,3,5,8,other
google/gemma-4-E2B-it,A4_null,sch-security,D2,True,2,4,6,other
LiquidAI/LFM2.5-1.2B-Instruct,A1_base,sch-power,D2,True,1,1,5,eos
LiquidAI/LFM2.5-1.2B-Instruct,A1_base,sch-security,D2,True,1,1,5,eos
LiquidAI/LFM2.5-1.2B-Instruct,A4_null,sch-power,D2,True,1,4,20,eos
LiquidAI/LFM2.5-1.2B-Instruct,A4_null,sch-security,D2,True,1,1,1,eos
HuggingFaceTB/SmolLM2-1.7B-Instruct,A1_base,sch-power,D2,True,1,1,2,eos
HuggingFaceTB/SmolLM2-1.7B-Instruct,A1_base,sch-security,D2,True,1,1,2,eos
HuggingFaceTB/SmolLM2-1.7B-Instruct,A4_null,sch-power,D2,True,1,1,1,eos
HuggingFaceTB/SmolLM2-1.7B-Instruct,A4_null,sch-security,D2,True,1,1,1,eos
Qwen/Qwen3.5-4B,A1_base,sch-power,D2,True,1,3,8,other
Qwen/Qwen3.5-4B,A1_base,sch-security,D2,True,1,3,5,other
Qwen/Qwen3.5-4B,A4_null,sch-power,D2,True,1,3,15,other
Qwen/Qwen3.5-4B,A4_null,sch-security,D2,True,1,3,8,other
HuggingFaceTB/SmolLM3-3B,A1_base,sch-power,D2,True,1,2,3,eos
HuggingFaceTB/SmolLM3-3B,A1_base,sch-security,D2,True,1,2,3,eos
HuggingFaceTB/SmolLM3-3B,A4_null,sch-power,D2,True,1,2,3,eos
HuggingFaceTB/SmolLM3-3B,A4_null,sch-security,D2,True,1,1,1,eos
ibm-granite/granite-4.1-3b,A1_base,sch-power,D2,True,1,2,4,eos
ibm-granite/granite-4.1-3b,A1_base,sch-security,D2,True,1,2,4,eos
ibm-granite/granite-4.1-3b,A4_null,sch-power,D2,True,2,3,5,eos
ibm-granite/granite-4.1-3b,A4_null,sch-security,D2,True,1,1,3,eos
Qwen/Qwen3.5-9B,A1_base,sch-power,D2,False,,,,length
Qwen/Qwen3.5-9B,A1_base,sch-security,D2,True,1,3,5,other
Qwen/Qwen3.5-9B,A4_null,sch-power,D2,False,,,,other
Qwen/Qwen3.5-9B,A4_null,sch-security,D2,True,1,3,5,other
