model,arm,parse_ok,n_task_1,n_task_2,n_task_3,stop_reason,n_new_tokens
Qwen/Qwen3.5-0.8B,A1_base,True,1,1,1,other,248
Qwen/Qwen3.5-0.8B,A2_rev,True,1,1,1,other,257
Qwen/Qwen3.5-0.8B,A3_nohint,True,1,1,1,other,254
Qwen/Qwen3.5-0.8B,A4_null,True,1,1,1,other,295
Qwen/Qwen3.5-2B,A1_base,True,1,2,4,other,270
Qwen/Qwen3.5-2B,A2_rev,True,1,2,4,other,228
Qwen/Qwen3.5-2B,A3_nohint,True,1,2,4,other,247
Qwen/Qwen3.5-2B,A4_null,True,1,2,4,other,287
google/gemma-4-E2B-it,A1_base,True,2,4,6,other,306
google/gemma-4-E2B-it,A2_rev,True,1,2,5,other,289
google/gemma-4-E2B-it,A3_nohint,True,2,4,6,other,300
google/gemma-4-E2B-it,A4_null,True,2,4,6,other,312
LiquidAI/LFM2.5-1.2B-Instruct,A1_base,True,1,1,1,eos,176
LiquidAI/LFM2.5-1.2B-Instruct,A2_rev,True,1,1,2,eos,208
LiquidAI/LFM2.5-1.2B-Instruct,A3_nohint,False,,,,eos,146
LiquidAI/LFM2.5-1.2B-Instruct,A4_null,True,1,1,1,eos,177
HuggingFaceTB/SmolLM2-1.7B-Instruct,A1_base,True,1,1,2,eos,198
HuggingFaceTB/SmolLM2-1.7B-Instruct,A2_rev,True,8,8,8,eos,279
HuggingFaceTB/SmolLM2-1.7B-Instruct,A3_nohint,True,8,8,8,eos,289
HuggingFaceTB/SmolLM2-1.7B-Instruct,A4_null,True,1,1,1,eos,253
Qwen/Qwen3.5-4B,A1_base,True,1,2,4,other,162
Qwen/Qwen3.5-4B,A2_rev,True,1,2,1,other,163
Qwen/Qwen3.5-4B,A3_nohint,True,1,2,4,other,174
Qwen/Qwen3.5-4B,A4_null,True,2,4,8,other,159
HuggingFaceTB/SmolLM3-3B,A1_base,True,1,2,3,eos,219
HuggingFaceTB/SmolLM3-3B,A2_rev,True,5,10,20,eos,245
HuggingFaceTB/SmolLM3-3B,A3_nohint,True,1,2,3,eos,221
HuggingFaceTB/SmolLM3-3B,A4_null,True,1,1,1,eos,201
ibm-granite/granite-4.1-3b,A1_base,True,1,2,4,eos,235
ibm-granite/granite-4.1-3b,A2_rev,True,1,1,3,eos,198
ibm-granite/granite-4.1-3b,A3_nohint,True,1,2,4,eos,229
ibm-granite/granite-4.1-3b,A4_null,True,2,3,5,eos,240
Qwen/Qwen3.5-9B,A1_base,False,,,,other,208
Qwen/Qwen3.5-9B,A2_rev,False,,,,other,275
Qwen/Qwen3.5-9B,A3_nohint,True,1,3,6,other,221
Qwen/Qwen3.5-9B,A4_null,False,,,,other,198
